PATH_LIST	PARAMETERS	DIRECTION	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM	ONE_OVERLAP	RANK_BENIGN_SC	RANK_ONE_OVERLAP	AVG_RANKED_SCORES
MorbidMap_hg19.BED	7_B_USLB	GAIN	26391142	18829385	70241	45150286	18829385	0.9962696073185608	0.1650653514764284	0.9972986092991364	0.5811819803877823
MorbidMap_hg19.BED	8_ALL	GAIN	32411697	18829385	340399	50900683	18829385	0.9819219268181091	0.2068454486886419	0.9738797372725689	0.5903625929806054
MorbidMap_hg19.BED	8_B	GAIN	3321914	18829385	42188	22109111	3321914	0.9873000926574258	0.004974697300738914	0.9826581999324149	0.4938164486165769
MorbidMap_hg19.BED	8_B_USLB	GAIN	26107484	18829385	54396	44882473	18829385	0.9971111111701205	0.16309688531093	0.9986721463673001	0.580884515839115
MorbidMap_hg19.BED	9_ALL	GAIN	31831966	18829385	332901	50328450	18829385	0.982320134194505	0.20282236152526018	0.974529707669356	0.5886760345973081
MorbidMap_hg19.BED	9_B	GAIN	2780053	18829385	36545	21572893	2780053	0.9868545671611296	0.0012144118693281504	0.9819309949614089	0.4915727034153685
MorbidMap_hg19.BED	9_B_USLB	GAIN	25602960	18829385	42794	44389551	18829385	0.9977272757447999	0.15959570281763916	0.9996778754341876	0.5796367891259134
MorbidMap_hg19.BED	10_ALL	LOSS	2499669	18829385	13546	21315508	2499669	0.9945808825088441	0.015071779088350275	0.9853298168515812	0.5002007979699657
MorbidMap_hg19.BED	10_B	LOSS	1239613	18829385	0	20068998	1239613	1.0	0.0	1.0	0.5
MorbidMap_hg19.BED	10_B_USLB	LOSS	1239613	18829385	0	20068998	1239613	1.0	0.0	1.0	0.5
MorbidMap_hg19.BED	1_ALL	LOSS	84843280	18829385	6955513	96717152	18829385	0.6306032831130703	1.0	0.0	0.5
MorbidMap_hg19.BED	1_B	LOSS	12395089	18829385	734774	30489700	12395089	0.9407205547293771	0.13343285528372817	0.8395236271448292	0.4864782412142787
MorbidMap_hg19.BED	1_B_USLB	LOSS	26057826	18829385	1086480	43800731	18829385	0.9422986996123347	0.29685555539088976	0.8437958494218903	0.57032570240639
MorbidMap_hg19.BED	2_ALL	LOSS	35313265	18829385	2998672	51143978	18829385	0.8407450907185763	0.4075616922401263	0.5688783846712672	0.4882200384556967
MorbidMap_hg19.BED	2_B	LOSS	4080662	18829385	35807	22874240	4080662	0.9912251982643993	0.03398234912351392	0.9762455881861921	0.505113968654853
MorbidMap_hg19.BED	2_B_USLB	LOSS	7974447	18829385	64071	26739761	7974447	0.9919654616802895	0.08055668180200756	0.9782495675992438	0.5294031247006257
MorbidMap_hg19.BED	3_ALL	LOSS	18791243	18829385	2138188	35482440	18791243	0.8862135942789947	0.2099385186058884	0.6919669273730045	0.45095272298944644
MorbidMap_hg19.BED	3_B	LOSS	3102635	18829385	31102	21900918	3102635	0.9899756174993192	0.022283974696947203	0.9728628273007927	0.49757340099886993
MorbidMap_hg19.BED	3_B_USLB	LOSS	4952525	18829385	32602	23749308	4952525	0.9934170953200641	0.04441087494403804	0.9821793091844102	0.5132950920642241
MorbidMap_hg19.BED	4_ALL	LOSS	13470067	18829385	1399645	30899807	13470067	0.8960922020655131	0.1462908798007628	0.7187094709174351	0.43250017535909896
